id,rank,star_name
nm0005023,753,Djimon Hounsou
nm0000369,754,Matt Dillon
nm0000257,755,Alan Alda
nm0002006,756,Thomas Haden Church
nm0654110,757,Clive Owen
nm0913822,758,Ken Watanabe
nm4139037,759,Suraj Sharma
nm0000604,760,John C. Reilly
nm0003817,761,Michael Clarke Duncan
nm0005286,762,Haley Joel Osment
nm0001427,763,Greg Kinnear
nm0000608,764,Burt Reynolds
nm0001233,765,Robert Forster
nm0005403,766,Jason Schwartzman
nm0000513,767,William H. Macy
nm0000090,768,Armin Mueller-Stahl
nm0000619,769,Tim Roth
nm0000342,770,James Cromwell
nm0001590,771,Chazz Palminteri
nm0000641,772,Gary Sinise
nm0006890,773,Paul Scofield
nm0000592,774,Pete Postlethwaite
nm0586568,775,Mads Mikkelsen
nm0000586,776,Jada Pinkett Smith
nm0001575,777,Tatum O'Neal
nm0267506,778,Anna Faris
nm0005093,779,Regina King
nm0000463,780,Famke Janssen
nm0683253,781,Rosamund Pike
nm0001372,782,Bonnie Hunt
nm0005182,783,Leslie Mann
nm1411676,784,Mindy Kaling
nm0628601,785,Thandie Newton
nm0688132,786,Amy Poehler
nm0001605,787,Amanda Peet
nm0005466,788,Julia Stiles
nm0004742,789,Maria Bello
nm0578949,790,Eva Mendes
nm1289434,791,Emily Blunt
nm0126284,792,Rose Byrne
nm0000171,793,Ashley Judd
nm3592338,794,Emilia Clarke
nm0000775,795,Christina Applegate
nm0000505,796,Nia Long
nm0428065,797,Felicity Jones
nm0000495,798,Téa Leoni
nm1275259,799,Alexandra Daddario
nm0540441,800,Jena Malone
nm0000152,801,Richard Gere
nm0296545,802,Nick Frost
nm0000501,803,Ray Liotta
nm0001674,804,Chris Rock
nm0358316,805,Jon Hamm
nm0000439,806,Neil Patrick Harris
nm0000221,807,Charlie Sheen
nm0753314,808,Mark Rylance
nm0000412,809,Andy Garcia
nm0503627,810,Michael Lerner
nm0001295,811,Graham Greene
nm0001117,812,Bruce Davison
nm0000101,813,Dan Aykroyd
nm0000732,814,Danny Aiello
nm0000203,815,River Phoenix
nm0001777,816,Dean Stockwell
nm0000345,817,Billy Crystal
nm0000422,818,John Goodman
nm0089217,819,Orlando Bloom
nm0001745,820,Stellan Skarsgård
nm0002907,821,Alexander Skarsgård
nm0000196,822,Mike Myers
nm0879085,823,Tyrese Gibson
nm0000704,824,Elijah Wood
nm0000362,825,Danny DeVito
nm0001333,826,Susan Hayward
nm0735442,827,Michelle Rodriguez
nm0001264,828,Sarah Michelle Gellar
nm0644897,829,Sandra Oh
nm0461498,830,Beyoncé
nm0356017,831,Rebecca Hall
nm0005305,832,Piper Perabo
nm0001073,833,Courteney Cox
nm0000205,834,Parker Posey
nm1745736,835,Paula Patton
nm1157358,836,Michelle Monaghan
nm0000132,837,Claire Danes
nm0005049,838,Allison Janney
nm0098378,839,Kate Bosworth
nm0939697,840,Evan Rachel Wood
nm0000227,841,Mira Sorvino
